route,camera,samples,accuracy,precision,recall,specificity,f1,balanced_accuracy,roc_auc,tp,tn,fp,fn
RTMPose+ST-GCN++,2,69,0.5652173913043478,0.5517241379310345,0.48484848484848486,0.6388888888888888,0.5161290322580646,0.5618686868686869,0.6262626262626263,16,23,13,17
RTMPose+ST-GCN++,4,69,0.6376811594202898,0.5909090909090909,0.7878787878787878,0.5,0.6753246753246752,0.6439393939393939,0.6372053872053872,26,18,18,7
RTMPose+ST-GCN++,5,70,0.7,0.696969696969697,0.6764705882352942,0.7222222222222222,0.6865671641791046,0.6993464052287581,0.636437908496732,23,26,10,11
RTMPose+ST-GCN++,6,69,0.6666666666666666,0.6388888888888888,0.696969696969697,0.6388888888888888,0.6666666666666666,0.6679292929292929,0.7188552188552189,23,23,13,10
RTMPose+ST-GCN++,7,69,0.6231884057971014,0.6206896551724138,0.5454545454545454,0.6944444444444444,0.5806451612903226,0.6199494949494949,0.6557239057239057,18,25,11,15
RTMPose+ST-GCN++,8,69,0.5507246376811594,0.5384615384615384,0.42424242424242425,0.6666666666666666,0.47457627118644075,0.5454545454545454,0.5984848484848485,14,24,12,19
YOLO-Pose+ST-GCN++,2,69,0.6376811594202898,0.625,0.6060606060606061,0.6666666666666666,0.6153846153846154,0.6363636363636364,0.6717171717171717,20,24,12,13
YOLO-Pose+ST-GCN++,4,69,0.4492753623188406,0.4418604651162791,0.5757575757575758,0.3333333333333333,0.5,0.4545454545454546,0.5286195286195287,19,12,24,14
YOLO-Pose+ST-GCN++,5,70,0.6285714285714286,0.5833333333333334,0.8235294117647058,0.4444444444444444,0.6829268292682927,0.6339869281045751,0.6429738562091504,28,16,20,6
YOLO-Pose+ST-GCN++,6,69,0.6376811594202898,0.6,0.7272727272727273,0.5555555555555556,0.6575342465753425,0.6414141414141414,0.6742424242424242,24,20,16,9
YOLO-Pose+ST-GCN++,7,69,0.6376811594202898,0.625,0.6060606060606061,0.6666666666666666,0.6153846153846154,0.6363636363636364,0.7003367003367004,20,24,12,13
YOLO-Pose+ST-GCN++,8,69,0.6086956521739131,0.5833333333333334,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.6098484848484849,0.6363636363636364,21,21,15,12
YOLO-Pose+CTR-GCN,2,69,0.6811594202898551,0.7037037037037037,0.5757575757575758,0.7777777777777778,0.6333333333333334,0.6767676767676768,0.6641414141414141,19,28,8,14
YOLO-Pose+CTR-GCN,4,69,0.5507246376811594,0.5227272727272727,0.696969696969697,0.4166666666666667,0.5974025974025974,0.5568181818181819,0.5867003367003367,23,15,21,10
YOLO-Pose+CTR-GCN,5,70,0.5285714285714286,0.5081967213114754,0.9117647058823529,0.16666666666666666,0.6526315789473685,0.5392156862745098,0.4959150326797386,31,6,30,3
YOLO-Pose+CTR-GCN,6,69,0.6231884057971014,0.5897435897435898,0.696969696969697,0.5555555555555556,0.638888888888889,0.6262626262626263,0.6582491582491582,23,20,16,10
YOLO-Pose+CTR-GCN,7,69,0.5652173913043478,0.5652173913043478,0.3939393939393939,0.7222222222222222,0.4642857142857143,0.5580808080808081,0.6574074074074074,13,26,10,20
YOLO-Pose+CTR-GCN,8,69,0.5652173913043478,0.5517241379310345,0.48484848484848486,0.6388888888888888,0.5161290322580646,0.5618686868686869,0.5782828282828283,16,23,13,17
